qsd.s,qsd.d,qty,ect,ldt
85,19,3,54,1038
64,286,3,0,722
54,263,1,177,865
37,244,1,0,1012
26,291,2,0,856
101,276,1,0,940
212,296,2,0,994
107,288,3,0,1018
188,234,2,0,786
136,291,1,0,856
213,247,2,0,712
90,265,2,0,864
115,281,2,167,1073
25,256,1,0,1022
99,7,1,0,1079
172,258,3,0,1070
103,239,1,326,1080
142,1,2,55,871
106,250,2,0,890
168,282,1,0,772
87,283,1,0,716
126,298,2,374,962
55,274,3,0,804
219,260,1,60,744
21,6,3,0,874
204,268,3,54,1040
29,263,2,177,865
108,245,2,216,960
89,260,2,60,744
54,256,2,0,1022
114,19,3,54,1038
215,6,2,0,874
180,270,1,185,937
102,298,2,374,962
127,256,1,0,1022
164,296,3,0,994
95,280,3,0,800
149,257,2,40,920
98,223,3,6,926
209,259,2,86,990
22,234,3,0,786
29,255,1,0,886
47,247,1,0,712
67,12,2,0,1079
72,1,3,55,871
128,267,3,0,914
20,253,2,0,804
76,279,3,0,814
151,237,1,0,762
122,271,2,249,1043
87,278,2,127,1023
70,243,1,174,1024
205,244,3,0,1012
58,250,2,0,890
84,289,3,68,1038
102,248,1,0,1048
127,241,2,0,876
100,289,2,68,1038
157,4,1,0,1080
47,275,1,0,888
175,288,1,0,1018
29,242,2,10,1008
129,243,2,174,1024
111,6,3,0,874
136,234,1,0,786
201,3,2,0,1074
184,7,3,0,1079
68,228,2,311,1035
66,230,2,30,1060
71,285,2,0,808
121,290,2,86,1072
186,237,1,0,762
136,286,3,0,722
52,252,3,70,948
110,289,2,68,1038
157,260,2,60,744
190,11,3,311,1037
154,242,2,10,1008
218,254,2,272,986
104,296,2,0,994
219,242,2,10,1008
116,277,1,0,982
83,275,2,0,888
48,281,1,167,1073
194,282,3,0,772
92,284,1,119,1001
149,226,2,0,998
165,258,2,0,1070
118,6,3,0,874
153,229,2,0,736
30,229,3,0,736
107,255,1,0,886
76,3,1,0,1074
211,288,3,0,1018
80,245,1,216,960
137,250,2,0,890
155,224,1,0,1080
88,245,1,216,960
181,277,3,0,982
92,278,1,127,1023
127,235,3,0,1079
32,223,1,6,926
36,1,2,55,871
35,254,1,272,986
145,245,2,216,960
132,241,1,0,876
138,287,3,27,913
121,261,3,0,668
215,249,2,0,1080
108,273,1,30,806
80,232,1,16,804
26,290,2,86,1072
58,249,1,0,1080
134,237,2,0,762
41,285,3,0,808
152,222,2,205,1049
28,266,2,0,748
85,263,3,177,865
78,14,1,96,1002
135,249,3,0,1080
170,279,2,0,814
153,275,1,0,888
123,11,2,311,1037
57,248,1,0,1048
22,228,3,311,1035
61,267,1,0,914
193,274,1,0,804
20,282,3,0,772
40,244,1,0,1012
23,263,3,177,865
136,9,1,0,942
101,291,2,0,856
102,242,2,10,1008
141,1,2,55,871
201,225,2,17,1037
85,278,2,127,1023
31,238,1,0,1064
144,243,3,174,1024
53,19,2,54,1038
56,270,1,185,937
167,262,3,239,1021
100,225,2,17,1037
214,266,2,0,748
125,247,2,0,712
89,250,3,0,890
37,226,2,0,998
39,232,2,16,804
203,238,2,0,1064
69,276,3,0,940
218,241,3,0,876
208,276,2,0,940
43,291,2,0,856
109,235,2,0,1079
112,9,3,0,942
77,272,3,0,1078
66,286,1,0,722
113,258,1,0,1070
150,278,1,127,1023
217,276,1,0,940
163,287,1,27,913
133,295,1,10,1054
183,236,3,0,1068
119,290,3,86,1072
48,297,2,156,964
